id,name,category,price,description,stock,warranty_period
P001,เคสใสกันกระแทก Crystal Clear สำหรับ iPhone 15 Pro Max,Case,490,"เคสใสวัสดุ TPU+PC เกรดพรีเมียม กันกระแทกมาตรฐาน Military Grade ไม่เหลืองง่าย ขอบยกสูงปกป้องเลนส์กล้อง",100,1 Year
P002,ฟิล์มไฮโดรเจล แบบด้าน สำหรับ Samsung S24 Ultra,Screen Protector,290,"ฟิล์มไฮโดรเจลเนื้อด้าน ลดรอยนิ้วมือ ทัชลื่น ซ่อมแซมรอยขีดข่วนเองได้ภายใน 24 ชม. ติดตั้งง่ายไม่ทิ้งคราบกาว",200,30 Days
P003,หัวชาร์จเร็ว PD 30W (USB-C Port),Charger,590,"อะแดปเตอร์ชาร์จเร็ว รองรับเทคโนโลยี PD 3.0 / QC 4.0 จ่ายไฟสูงสุด 30W ขนาดเล็กพกพาสะดวก ขาพับเก็บได้",150,1 Year
P004,สายชาร์จถักไนลอน USB-C to Lightning (1.2 เมตร),Cable,350,"สายชาร์จถักไนลอนทนทานพิเศษ ผ่านการทดสอบการงอ 10000+ ครั้ง รองรับ Fast Charge จ่ายไฟเสถียร",300,1 Year
P005,Power Bank 10000mAh ชาร์จไร้สาย (Magnetic),Power Bank,1290,"แบตสำรองความจุ 10000mAh รองรับ MagSafe ชาร์จไร้สาย 15W ดีไซน์บางเบา มีขาตั้งในตัว",80,1 Year
P006,หูฟัง True Wireless ตัดเสียงรบกวน ANC,Audio,1990,"หูฟังบลูทูธ 5.3 ตัดเสียงรบกวน Active Noise Cancelling แบตอึด 8 ชม. ต่อการชาร์จ กันน้ำ IPX4",50,1 Year
P007,ที่วางมือถือในรถยนต์ แบบแม่เหล็ก (MagSafe),Car Accessories,690,"ที่จับมือถือติดช่องแอร์ แรงดูดแม่เหล็กสูง ไม่หลุดง่ายแม้ถนนขรุขระ หมุนได้ 360 องศา",120,6 Months
P008,เคส iPad Air 5 / Air 4 (Smart Folio),Case,790,"เคสฝาพับแม่เหล็ก ปลุก/หลับหน้าจออัตโนมัติ (Auto Sleep/Wake) น้ำหนักเบา ด้านหลังโชว์สีเครื่อง",60,1 Year
P009,USB-C Hub 5-in-1 (HDMI 4K + USB 3.0),Adapter,990,"ฮับแปลงช่อง USB-C เป็น HDMI 4K, USB 3.0 x2, SD/TF Card Reader วัสดุอลูมิเนียม ระบายความร้อนดี",40,1 Year
P010,ชุดทำความสะอาดหน้าจอ (สเปรย์ + ผ้าไมโครไฟเบอร์),Accessories,150,"น้ำยาทำความสะอาดสูตรอ่อนโยน ไม่ทำลายสารเคลือบหน้าจอ ขจัดคราบมันและรอยนิ้วมือ พร้อมผ้าไมโครไฟเบอร์ในตัว",500,N/A
